msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
atlanta,Cell Separation Technologies,cell separation technologies,grant_only_company,startup,biotech,Tucker,GA,30084 0502,False,True,False,False,0.0,0.0,100000.0,0.0,0.0,,,,,,,,,,2000,2000,,
atlanta,Chembind LLC,chembind,grant_only_company,startup,unknown,Atlanta,GA,30303-2921,False,True,True,False,0.0,1.0,290986.0,1.0,290986.0,,,,,,FEU1DYRVD8X4,081031828,https://www.chembind.com,5,2024,2024,,
atlanta,"Circular Solutions, Inc.",circular solutions,grant_only_company,startup,unknown,Stone Mountain,GA,30083,False,True,False,False,0.0,0.0,849838.0,0.0,0.0,,,,,,,,,,1998,1999,,
atlanta,Cloud Mustang Corporation,cloud mustang,grant_only_company,startup,unknown,Dahlonega,GA,30533-8780,False,True,True,False,0.0,1.0,340740.0,1.0,340740.0,,,,,,C53BDEN3GHW7,080339279,,2,2019,2019,,
atlanta,"Cobalt Blue, Inc.",cobalt blue,grant_only_company,startup,unknown,Roswell,GA,30076,False,True,False,False,0.0,0.0,63681.0,0.0,0.0,,,,,,,,,4,1996,1996,,
atlanta,Colography Group Inc.,colography,grant_only_company,startup,unknown,Marietta,GA,30068,False,True,False,False,0.0,0.0,599866.0,0.0,0.0,,,,,,,,,,1994,1995,,
atlanta,"Command Control, Inc.",command control,grant_only_company,startup,unknown,Atlanta,GA,30350,False,True,False,False,0.0,0.0,1757365.0,0.0,0.0,,,,,,,,,,1984,1993,,
atlanta,Compost Wizard,compost wizard,grant_only_company,startup,unknown,Locust Grove,GA,30248,False,True,False,False,0.0,2.0,352846.0,0.0,0.0,,,,,,,,,,2005,2006,,
atlanta,"CompuTaught, Inc.",computaught,grant_only_company,startup,unknown,Marietta,GA,30067,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,,1997,1997,,
atlanta,Consulting Aviation Services,consulting aviation services,grant_only_company,startup,services,Kennesaw,GA,30152,False,True,False,False,0.0,0.0,69778.0,0.0,0.0,,,,,,,,,3,1996,1996,,
atlanta,Continental Systems Technology,continental systems technology,grant_only_company,startup,unknown,Marietta,GA,30067,False,True,False,False,0.0,0.0,158560.0,0.0,0.0,,,,,,,,,,1989,1991,,
atlanta,Control One LLC,control one,grant_only_company,startup,unknown,ATLANTA,GA,30338-2734,False,True,False,False,0.0,1.0,149959.0,0.0,0.0,,,,,,C3N8CJRDHDZ8,078409314,,3,2019,2019,,
atlanta,Corpium Industries Inc.,corpium industries,grant_only_company,startup,unknown,Atlanta,GA,30318,False,True,False,False,0.0,0.0,549917.0,0.0,0.0,,,,,,,,,,1987,1988,,
atlanta,"Corrdesa, LLC",corrdesa,grant_only_company,startup,unknown,Tyrone,GA,30290-2948,False,True,False,False,0.0,17.0,12642133.09,0.0,0.0,,,,,,LAN1GKRJFQE5,969331193,https://www.corrdesa.com,8,2012,2024,,
